Id,LotArea,MasVnrArea,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,GarageArea,WoodDeckSF,OpenPorchSF,SalePrice
1,8450,196,150,856,856,854,1710,548,0,61,208500
2,9600,0,284,1262,1262,0,1262,460,298,0,181500
3,11250,162,434,920,920,866,1786,608,0,42,223500
4,9550,0,540,756,961,756,1717,642,0,35,140000
5,14260,350,490,1145,1145,1053,2198,836,192,84,250000
6,14115,0,64,796,796,566,1362,480,40,30,143000
7,10084,186,317,1686,1694,0,1694,636,255,57,307000
8,10382,240,216,1107,1107,983,2090,484,235,204,200000
9,6120,0,952,952,1022,752,1774,468,90,0,129900
10,7420,0,140,991,1077,0,1077,205,0,4,118000
11,11200,0,134,1040,1040,0,1040,384,0,0,129500
12,11924,286,177,1175,1182,1142,2324,736,147,21,345000
13,12968,0,175,912,912,0,912,352,140,0,144000
14,10652,306,1494,1494,1494,0,1494,840,160,33,279500
15,10920,212,520,1253,1253,0,1253,352,0,213,157000
16,6120,0,832,832,854,0,854,576,48,112,132000
17,11241,180,426,1004,1004,0,1004,480,0,0,149000
18,10791,0,0,0,1296,0,1296,516,0,0,90000
19,13695,0,468,1114,1114,0,1114,576,0,102,159000
20,7560,0,525,1029,1339,0,1339,294,0,0,139000
21,14215,380,1158,1158,1158,1218,2376,853,240,154,325300
22,7449,0,637,637,1108,0,1108,280,0,0,139400
23,9742,281,1777,1777,1795,0,1795,534,171,159,230000
24,4224,0,200,1040,1060,0,1060,572,100,110,129900
25,8246,0,204,1060,1060,0,1060,270,406,90,154000
26,14230,640,1566,1566,1600,0,1600,890,0,56,256300
27,7200,0,180,900,900,0,900,576,222,32,134800
28,11478,200,486,1704,1704,0,1704,772,0,50,306000
29,16321,0,207,1484,1600,0,1600,319,288,258,207500
30,6324,0,520,520,520,0,520,240,49,0,68500
31,8500,0,649,649,649,668,1317,250,0,54,40000
32,8544,0,1228,1228,1228,0,1228,271,0,65,149350
33,11049,0,1234,1234,1234,0,1234,484,0,30,179900
34,10552,0,380,1398,1700,0,1700,447,0,38,165500
35,7313,246,408,1561,1561,0,1561,556,203,47,277500
36,13418,132,1117,1117,1132,1320,2452,691,113,32,309000
37,10859,0,1097,1097,1097,0,1097,672,392,64,145000
38,8532,650,84,1297,1297,0,1297,498,0,0,153000
39,7922,0,326,1057,1057,0,1057,246,0,52,109000
40,6040,0,0,0,1152,0,1152,0,0,0,82000
41,8658,101,445,1088,1324,0,1324,440,0,138,160000
42,16905,0,383,1350,1328,0,1328,308,0,104,170000
43,9180,0,0,840,884,0,884,504,240,0,144000
44,9200,0,167,938,938,0,938,308,145,0,130250
45,7945,0,465,1150,1150,0,1150,300,0,0,141000
46,7658,412,1296,1752,1752,0,1752,576,196,82,319900
47,12822,0,83,1434,1518,631,2149,670,168,43,239686
48,11096,0,1632,1656,1656,0,1656,826,0,146,249700
49,4456,0,736,736,736,716,1452,0,0,0,113000
50,7742,0,192,955,955,0,955,386,0,0,127000
51,13869,0,612,794,794,676,1470,388,0,75,177000
52,6240,0,816,816,816,0,1176,528,112,0,114500
53,8472,0,0,816,816,0,816,516,106,0,110000
54,50271,0,32,1842,1842,0,1842,894,857,72,385000
55,7134,0,0,384,1360,0,1360,572,0,50,130000
56,10175,272,935,1425,1425,0,1425,576,0,0,180500
57,2645,456,321,970,983,756,1739,480,115,0,172500
58,11645,0,860,860,860,860,1720,565,0,70,196500
59,13682,1031,1410,1410,1426,1519,2945,641,192,0,438780
60,7200,0,148,780,780,0,780,352,196,0,124900
61,13072,0,217,1158,1158,0,1158,576,0,50,158000
62,7200,0,530,530,581,530,1111,288,0,0,101000
63,6442,178,1346,1370,1370,0,1370,484,120,49,202500
64,10300,0,576,576,902,808,1710,480,12,11,140000
65,9375,573,318,1057,1057,977,2034,645,576,36,219500
66,9591,344,1143,1143,1143,1330,2473,852,192,151,317000
67,19900,287,1035,1947,2207,0,2207,576,301,0,180000
